,MIN(t.issue),is_latest_issue,direction,source,signal,geo_type,geo_value,epimetric_id,strat_key_id,issue,data_as_of_dt,time_type,time_value,reference_dt,value,stderr,sample_size,lag,value_updated_timestamp,computation_as_of_dt,missing_value,missing_stderr,missing_sample_size,signal_key_id,geo_key_id
0,20210411,1,,doctor-visits,smoothed_cli,state,ak,1915178264,1,20210411,,day,20210130,,1.209004,,,71,1618181524,,0,5,5,2,3186
1,20210411,1,,doctor-visits,smoothed_cli,state,al,1915178265,1,20210411,,day,20210130,,7.133793,,,71,1618181524,,0,5,5,2,3187
2,20210411,1,,doctor-visits,smoothed_cli,state,ar,1915178266,1,20210411,,day,20210130,,5.671203,,,71,1618181524,,0,5,5,2,3188
3,20210411,1,,doctor-visits,smoothed_cli,state,az,1915178267,1,20210411,,day,20210130,,7.090654,,,71,1618181524,,0,5,5,2,3189
4,20210411,1,,doctor-visits,smoothed_cli,state,ca,1915178268,1,20210411,,day,20210130,,8.161013,,,71,1618181524,,0,5,5,2,3190
5,20210411,1,,doctor-visits,smoothed_cli,state,co,1915178269,1,20210411,,day,20210130,,2.779712,,,71,1618181524,,0,5,5,2,3191
6,20210411,1,,doctor-visits,smoothed_cli,state,ct,1915178270,1,20210411,,day,20210130,,6.708215,,,71,1618181524,,0,5,5,2,3192
7,20210411,1,,doctor-visits,smoothed_cli,state,dc,1915178271,1,20210411,,day,20210130,,6.739772,,,71,1618181524,,0,5,5,2,3193
8,20210411,1,,doctor-visits,smoothed_cli,state,de,1915178272,1,20210411,,day,20210130,,7.374098,,,71,1618181524,,0,5,5,2,3194
9,20210411,1,,doctor-visits,smoothed_cli,state,fl,1915178273,1,20210411,,day,20210130,,8.145025,,,71,1618181524,,0,5,5,2,3195
10,20210411,1,,doctor-visits,smoothed_cli,state,ga,1915178274,1,20210411,,day,20210130,,8.778293,,,71,1618181524,,0,5,5,2,3196
11,20210411,1,,doctor-visits,smoothed_cli,state,hi,1915178275,1,20210411,,day,20210130,,3.034309,,,71,1618181524,,0,5,5,2,3197
12,20210411,1,,doctor-visits,smoothed_cli,state,ia,1915178276,1,20210411,,day,20210130,,2.014187,,,71,1618181524,,0,5,5,2,3198
13,20210411,1,,doctor-visits,smoothed_cli,state,id,1915178277,1,20210411,,day,20210130,,1.905038,,,71,1618181524,,0,5,5,2,3199
14,20210411,1,,doctor-visits,smoothed_cli,state,il,1915178278,1,20210411,,day,20210130,,8.798309,,,71,1618181524,,0,5,5,2,3200
15,20210411,1,,doctor-visits,smoothed_cli,state,in,1915178279,1,20210411,,day,20210130,,4.865321,,,71,1618181524,,0,5,5,2,3201
16,20210411,1,,doctor-visits,smoothed_cli,state,ks,1915178280,1,20210411,,day,20210130,,4.62532,,,71,1618181524,,0,5,5,2,3202
17,20210411,1,,doctor-visits,smoothed_cli,state,ky,1915178281,1,20210411,,day,20210130,,5.162169,,,71,1618181524,,0,5,5,2,3203
18,20210411,1,,doctor-visits,smoothed_cli,state,la,1915178282,1,20210411,,day,20210130,,4.366568,,,71,1618181524,,0,5,5,2,3204
19,20210411,1,,doctor-visits,smoothed_cli,state,ma,1915178283,1,20210411,,day,20210130,,5.434692,,,71,1618181524,,0,5,5,2,3205
20,20210411,1,,doctor-visits,smoothed_cli,state,md,1915178284,1,20210411,,day,20210130,,11.350785,,,71,1618181524,,0,5,5,2,3206
21,20210411,1,,doctor-visits,smoothed_cli,state,me,1915178285,1,20210411,,day,20210130,,4.341319,,,71,1618181524,,0,5,5,2,3207
22,20210411,1,,doctor-visits,smoothed_cli,state,mi,1915178286,1,20210411,,day,20210130,,5.496491,,,71,1618181524,,0,5,5,2,3208
23,20210411,1,,doctor-visits,smoothed_cli,state,mn,1915178287,1,20210411,,day,20210130,,3.946539,,,71,1618181524,,0,5,5,2,3209
24,20210411,1,,doctor-visits,smoothed_cli,state,mo,1915178288,1,20210411,,day,20210130,,6.972093,,,71,1618181524,,0,5,5,2,3210
25,20210411,1,,doctor-visits,smoothed_cli,state,ms,1915178289,1,20210411,,day,20210130,,5.122083,,,71,1618181524,,0,5,5,2,3211
26,20210411,1,,doctor-visits,smoothed_cli,state,mt,1915178290,1,20210411,,day,20210130,,3.17495,,,71,1618181524,,0,5,5,2,3212
27,20210411,1,,doctor-visits,smoothed_cli,state,nc,1915178291,1,20210411,,day,20210130,,8.136245,,,71,1618181524,,0,5,5,2,3213
28,20210411,1,,doctor-visits,smoothed_cli,state,nd,1915178292,1,20210411,,day,20210130,,0.827985,,,71,1618181524,,0,5,5,2,3214
29,20210411,1,,doctor-visits,smoothed_cli,state,ne,1915178293,1,20210411,,day,20210130,,2.998138,,,71,1618181524,,0,5,5,2,3215
30,20210411,1,,doctor-visits,smoothed_cli,state,nh,1915178294,1,20210411,,day,20210130,,6.51443,,,71,1618181524,,0,5,5,2,3216
31,20210411,1,,doctor-visits,smoothed_cli,state,nj,1915178295,1,20210411,,day,20210130,,13.207235,,,71,1618181524,,0,5,5,2,3217
32,20210411,1,,doctor-visits,smoothed_cli,state,nm,1915178296,1,20210411,,day,20210130,,5.146908,,,71,1618181524,,0,5,5,2,3218
33,20210411,1,,doctor-visits,smoothed_cli,state,nv,1915178297,1,20210411,,day,20210130,,4.945341,,,71,1618181524,,0,5,5,2,3219
34,20210411,1,,doctor-visits,smoothed_cli,state,ny,1915178298,1,20210411,,day,20210130,,9.698526,,,71,1618181524,,0,5,5,2,3220
35,20210411,1,,doctor-visits,smoothed_cli,state,oh,1915178299,1,20210411,,day,20210130,,5.625161,,,71,1618181524,,0,5,5,2,3221
36,20210411,1,,doctor-visits,smoothed_cli,state,ok,1915178300,1,20210411,,day,20210130,,5.013002,,,71,1618181524,,0,5,5,2,3222
37,20210411,1,,doctor-visits,smoothed_cli,state,or,1915178301,1,20210411,,day,20210130,,2.692466,,,71,1618181524,,0,5,5,2,3223
38,20210411,1,,doctor-visits,smoothed_cli,state,pa,1915178302,1,20210411,,day,20210130,,7.874107,,,71,1618181524,,0,5,5,2,3224
39,20210411,1,,doctor-visits,smoothed_cli,state,pr,1915178303,1,20210411,,day,20210130,,24.938936,,,71,1618181524,,0,5,5,2,3240
40,20210411,1,,doctor-visits,smoothed_cli,state,ri,1915178304,1,20210411,,day,20210130,,6.502258,,,71,1618181524,,0,5,5,2,3225
41,20210411,1,,doctor-visits,smoothed_cli,state,sc,1915178305,1,20210411,,day,20210130,,7.069966,,,71,1618181524,,0,5,5,2,3226
42,20210411,1,,doctor-visits,smoothed_cli,state,sd,1915178306,1,20210411,,day,20210130,,1.33003,,,71,1618181524,,0,5,5,2,3227
43,20210411,1,,doctor-visits,smoothed_cli,state,tn,1915178307,1,20210411,,day,20210130,,4.835555,,,71,1618181524,,0,5,5,2,3228
44,20210411,1,,doctor-visits,smoothed_cli,state,tx,1915178308,1,20210411,,day,20210130,,9.314204,,,71,1618181524,,0,5,5,2,3229
45,20210411,1,,doctor-visits,smoothed_cli,state,ut,1915178309,1,20210411,,day,20210130,,2.097589,,,71,1618181524,,0,5,5,2,3230
46,20210411,1,,doctor-visits,smoothed_cli,state,va,1915178310,1,20210411,,day,20210130,,8.326829,,,71,1618181524,,0,5,5,2,3231
47,20210411,1,,doctor-visits,smoothed_cli,state,vi,1915178311,1,20210411,,day,20210130,,2.490407,,,71,1618181524,,0,5,5,2,5338
48,20210411,1,,doctor-visits,smoothed_cli,state,vt,1915178312,1,20210411,,day,20210130,,4.963146,,,71,1618181524,,0,5,5,2,3232
49,20210411,1,,doctor-visits,smoothed_cli,state,wa,1915178313,1,20210411,,day,20210130,,3.252791,,,71,1618181524,,0,5,5,2,3233
50,20210411,1,,doctor-visits,smoothed_cli,state,wi,1915178314,1,20210411,,day,20210130,,2.926024,,,71,1618181524,,0,5,5,2,3234
51,20210411,1,,doctor-visits,smoothed_cli,state,wv,1915178315,1,20210411,,day,20210130,,4.081985,,,71,1618181524,,0,5,5,2,3235
52,20210411,1,,doctor-visits,smoothed_cli,state,wy,1915178316,1,20210411,,day,20210130,,2.192211,,,71,1618181524,,0,5,5,2,3236
0,20210411,1,,doctor-visits,smoothed_cli,state,ak,1915183918,1,20210411,,day,20210131,,1.897506,,,70,1618181543,,0,5,5,2,3186
1,20210411,1,,doctor-visits,smoothed_cli,state,al,1915183919,1,20210411,,day,20210131,,9.326769,,,70,1618181543,,0,5,5,2,3187
