,MIN(t.issue),is_latest_issue,direction,source,signal,geo_type,geo_value,epimetric_id,strat_key_id,issue,data_as_of_dt,time_type,time_value,reference_dt,value,stderr,sample_size,lag,value_updated_timestamp,computation_as_of_dt,missing_value,missing_stderr,missing_sample_size,signal_key_id,geo_key_id
0,20220221,1,,google-symptoms,s05_raw_search,state,al,3003411131,1,20220221,,day,20210130,,0.2966667,,,387,1645483378,,0,5,5,736,3187
1,20220221,1,,google-symptoms,s05_raw_search,state,ar,3003411132,1,20220221,,day,20210130,,0.2866667,,,387,1645483378,,0,5,5,736,3188
2,20220221,1,,google-symptoms,s05_raw_search,state,az,3003411133,1,20220221,,day,20210130,,0.2533333,,,387,1645483378,,0,5,5,736,3189
3,20220221,1,,google-symptoms,s05_raw_search,state,ca,3003411134,1,20220221,,day,20210130,,0.19,,,387,1645483378,,0,5,5,736,3190
4,20220221,1,,google-symptoms,s05_raw_search,state,co,3003411135,1,20220221,,day,20210130,,0.1566667,,,387,1645483378,,0,5,5,736,3191
5,20220221,1,,google-symptoms,s05_raw_search,state,ct,3003411136,1,20220221,,day,20210130,,0.1866667,,,387,1645483378,,0,5,5,736,3192
6,20220221,1,,google-symptoms,s05_raw_search,state,dc,3003411137,1,20220221,,day,20210130,,0.1,,,387,1645483378,,0,5,5,736,3193
7,20220221,1,,google-symptoms,s05_raw_search,state,fl,3003411138,1,20220221,,day,20210130,,0.21,,,387,1645483378,,0,5,5,736,3195
8,20220221,1,,google-symptoms,s05_raw_search,state,ga,3003411139,1,20220221,,day,20210130,,0.2866667,,,387,1645483378,,0,5,5,736,3196
9,20220221,1,,google-symptoms,s05_raw_search,state,ia,3003411140,1,20220221,,day,20210130,,0.2433333,,,387,1645483378,,0,5,5,736,3198
10,20220221,1,,google-symptoms,s05_raw_search,state,id,3003411141,1,20220221,,day,20210130,,0.2566667,,,387,1645483378,,0,5,5,736,3199
11,20220221,1,,google-symptoms,s05_raw_search,state,il,3003411142,1,20220221,,day,20210130,,0.1633333,,,387,1645483378,,0,5,5,736,3200
12,20220221,1,,google-symptoms,s05_raw_search,state,in,3003411143,1,20220221,,day,20210130,,0.1933333,,,387,1645483378,,0,5,5,736,3201
13,20220221,1,,google-symptoms,s05_raw_search,state,ks,3003411144,1,20220221,,day,20210130,,0.2166667,,,387,1645483378,,0,5,5,736,3202
14,20220221,1,,google-symptoms,s05_raw_search,state,ky,3003411145,1,20220221,,day,20210130,,0.2233333,,,387,1645483378,,0,5,5,736,3203
15,20220221,1,,google-symptoms,s05_raw_search,state,la,3003411146,1,20220221,,day,20210130,,0.2566667,,,387,1645483378,,0,5,5,736,3204
16,20220221,1,,google-symptoms,s05_raw_search,state,ma,3003411147,1,20220221,,day,20210130,,0.16,,,387,1645483378,,0,5,5,736,3205
17,20220221,1,,google-symptoms,s05_raw_search,state,md,3003411148,1,20220221,,day,20210130,,0.1633333,,,387,1645483378,,0,5,5,736,3206
18,20220221,1,,google-symptoms,s05_raw_search,state,me,3003411149,1,20220221,,day,20210130,,0.0366667,,,387,1645483378,,0,5,5,736,3207
19,20220221,1,,google-symptoms,s05_raw_search,state,mi,3003411150,1,20220221,,day,20210130,,0.1333333,,,387,1645483378,,0,5,5,736,3208
20,20220221,1,,google-symptoms,s05_raw_search,state,mn,3003411151,1,20220221,,day,20210130,,0.14,,,387,1645483378,,0,5,5,736,3209
21,20220221,1,,google-symptoms,s05_raw_search,state,mo,3003411152,1,20220221,,day,20210130,,0.2233333,,,387,1645483378,,0,5,5,736,3210
22,20220221,1,,google-symptoms,s05_raw_search,state,ms,3003411153,1,20220221,,day,20210130,,0.2866667,,,387,1645483378,,0,5,5,736,3211
23,20220221,1,,google-symptoms,s05_raw_search,state,nc,3003411154,1,20220221,,day,20210130,,0.2133333,,,387,1645483378,,0,5,5,736,3213
24,20220221,1,,google-symptoms,s05_raw_search,state,ne,3003411155,1,20220221,,day,20210130,,0.21,,,387,1645483378,,0,5,5,736,3215
25,20220221,1,,google-symptoms,s05_raw_search,state,nh,3003411156,1,20220221,,day,20210130,,0.13,,,387,1645483378,,0,5,5,736,3216
26,20220221,1,,google-symptoms,s05_raw_search,state,nj,3003411157,1,20220221,,day,20210130,,0.21,,,387,1645483378,,0,5,5,736,3217
27,20220221,1,,google-symptoms,s05_raw_search,state,nm,3003411158,1,20220221,,day,20210130,,0.1133333,,,387,1645483378,,0,5,5,736,3218
28,20220221,1,,google-symptoms,s05_raw_search,state,nv,3003411159,1,20220221,,day,20210130,,0.23,,,387,1645483378,,0,5,5,736,3219
29,20220221,1,,google-symptoms,s05_raw_search,state,ny,3003411160,1,20220221,,day,20210130,,0.21,,,387,1645483378,,0,5,5,736,3220
30,20220221,1,,google-symptoms,s05_raw_search,state,oh,3003411161,1,20220221,,day,20210130,,0.2133333,,,387,1645483378,,0,5,5,736,3221
31,20220221,1,,google-symptoms,s05_raw_search,state,ok,3003411162,1,20220221,,day,20210130,,0.31,,,387,1645483378,,0,5,5,736,3222
32,20220221,1,,google-symptoms,s05_raw_search,state,or,3003411163,1,20220221,,day,20210130,,0.1133333,,,387,1645483378,,0,5,5,736,3223
33,20220221,1,,google-symptoms,s05_raw_search,state,pa,3003411164,1,20220221,,day,20210130,,0.1933333,,,387,1645483378,,0,5,5,736,3224
34,20220221,1,,google-symptoms,s05_raw_search,state,ri,3003411165,1,20220221,,day,20210130,,0.0733333,,,387,1645483378,,0,5,5,736,3225
35,20220221,1,,google-symptoms,s05_raw_search,state,sc,3003411166,1,20220221,,day,20210130,,0.2966667,,,387,1645483378,,0,5,5,736,3226
36,20220221,1,,google-symptoms,s05_raw_search,state,tn,3003411167,1,20220221,,day,20210130,,0.2366667,,,387,1645483378,,0,5,5,736,3228
37,20220221,1,,google-symptoms,s05_raw_search,state,tx,3003411168,1,20220221,,day,20210130,,0.2533333,,,387,1645483378,,0,5,5,736,3229
38,20220221,1,,google-symptoms,s05_raw_search,state,ut,3003411169,1,20220221,,day,20210130,,0.1233333,,,387,1645483378,,0,5,5,736,3230
39,20220221,1,,google-symptoms,s05_raw_search,state,va,3003411170,1,20220221,,day,20210130,,0.2,,,387,1645483378,,0,5,5,736,3231
40,20220221,1,,google-symptoms,s05_raw_search,state,wa,3003411171,1,20220221,,day,20210130,,0.16,,,387,1645483378,,0,5,5,736,3233
41,20220221,1,,google-symptoms,s05_raw_search,state,wi,3003411172,1,20220221,,day,20210130,,0.1733333,,,387,1645483378,,0,5,5,736,3234
42,20220221,1,,google-symptoms,s05_raw_search,state,wv,3003411173,1,20220221,,day,20210130,,0.16,,,387,1645483378,,0,5,5,736,3235
0,20220221,1,,google-symptoms,s05_raw_search,state,al,3003436853,1,20220221,,day,20210131,,0.29,,,386,1645483387,,0,5,5,736,3187
1,20220221,1,,google-symptoms,s05_raw_search,state,ar,3003436854,1,20220221,,day,20210131,,0.2933333,,,386,1645483387,,0,5,5,736,3188
2,20220221,1,,google-symptoms,s05_raw_search,state,az,3003436855,1,20220221,,day,20210131,,0.2466667,,,386,1645483387,,0,5,5,736,3189
3,20220221,1,,google-symptoms,s05_raw_search,state,ca,3003436856,1,20220221,,day,20210131,,0.1966667,,,386,1645483387,,0,5,5,736,3190
4,20220221,1,,google-symptoms,s05_raw_search,state,co,3003436857,1,20220221,,day,20210131,,0.1633333,,,386,1645483387,,0,5,5,736,3191
5,20220221,1,,google-symptoms,s05_raw_search,state,ct,3003436858,1,20220221,,day,20210131,,0.19,,,386,1645483387,,0,5,5,736,3192
6,20220221,1,,google-symptoms,s05_raw_search,state,dc,3003436859,1,20220221,,day,20210131,,0.13,,,386,1645483387,,0,5,5,736,3193
7,20220221,1,,google-symptoms,s05_raw_search,state,fl,3003436860,1,20220221,,day,20210131,,0.2166667,,,386,1645483387,,0,5,5,736,3195
8,20220221,1,,google-symptoms,s05_raw_search,state,ga,3003436861,1,20220221,,day,20210131,,0.29,,,386,1645483387,,0,5,5,736,3196
9,20220221,1,,google-symptoms,s05_raw_search,state,ia,3003436862,1,20220221,,day,20210131,,0.2166667,,,386,1645483387,,0,5,5,736,3198
10,20220221,1,,google-symptoms,s05_raw_search,state,id,3003436863,1,20220221,,day,20210131,,0.18,,,386,1645483387,,0,5,5,736,3199
11,20220221,1,,google-symptoms,s05_raw_search,state,il,3003436864,1,20220221,,day,20210131,,0.1733333,,,386,1645483387,,0,5,5,736,3200
12,20220221,1,,google-symptoms,s05_raw_search,state,in,3003436865,1,20220221,,day,20210131,,0.1966667,,,386,1645483387,,0,5,5,736,3201
13,20220221,1,,google-symptoms,s05_raw_search,state,ks,3003436866,1,20220221,,day,20210131,,0.19,,,386,1645483387,,0,5,5,736,3202
14,20220221,1,,google-symptoms,s05_raw_search,state,ky,3003436867,1,20220221,,day,20210131,,0.28,,,386,1645483387,,0,5,5,736,3203
15,20220221,1,,google-symptoms,s05_raw_search,state,la,3003436868,1,20220221,,day,20210131,,0.27,,,386,1645483387,,0,5,5,736,3204
16,20220221,1,,google-symptoms,s05_raw_search,state,ma,3003436869,1,20220221,,day,20210131,,0.1633333,,,386,1645483387,,0,5,5,736,3205
17,20220221,1,,google-symptoms,s05_raw_search,state,md,3003436870,1,20220221,,day,20210131,,0.18,,,386,1645483387,,0,5,5,736,3206
18,20220221,1,,google-symptoms,s05_raw_search,state,me,3003436871,1,20220221,,day,20210131,,0.0466667,,,386,1645483387,,0,5,5,736,3207
19,20220221,1,,google-symptoms,s05_raw_search,state,mi,3003436872,1,20220221,,day,20210131,,0.15,,,386,1645483387,,0,5,5,736,3208
20,20220221,1,,google-symptoms,s05_raw_search,state,mn,3003436873,1,20220221,,day,20210131,,0.1533333,,,386,1645483387,,0,5,5,736,3209
21,20220221,1,,google-symptoms,s05_raw_search,state,mo,3003436874,1,20220221,,day,20210131,,0.2333333,,,386,1645483387,,0,5,5,736,3210
22,20220221,1,,google-symptoms,s05_raw_search,state,ms,3003436875,1,20220221,,day,20210131,,0.3333333,,,386,1645483387,,0,5,5,736,3211
23,20220221,1,,google-symptoms,s05_raw_search,state,nc,3003436876,1,20220221,,day,20210131,,0.2133333,,,386,1645483387,,0,5,5,736,3213
24,20220221,1,,google-symptoms,s05_raw_search,state,ne,3003436877,1,20220221,,day,20210131,,0.2533333,,,386,1645483387,,0,5,5,736,3215
25,20220221,1,,google-symptoms,s05_raw_search,state,nh,3003436878,1,20220221,,day,20210131,,0.14,,,386,1645483387,,0,5,5,736,3216
26,20220221,1,,google-symptoms,s05_raw_search,state,nj,3003436879,1,20220221,,day,20210131,,0.21,,,386,1645483387,,0,5,5,736,3217
27,20220221,1,,google-symptoms,s05_raw_search,state,nm,3003436880,1,20220221,,day,20210131,,0.2,,,386,1645483387,,0,5,5,736,3218
28,20220221,1,,google-symptoms,s05_raw_search,state,nv,3003436881,1,20220221,,day,20210131,,0.2433333,,,386,1645483387,,0,5,5,736,3219
29,20220221,1,,google-symptoms,s05_raw_search,state,ny,3003436882,1,20220221,,day,20210131,,0.1966667,,,386,1645483387,,0,5,5,736,3220
30,20220221,1,,google-symptoms,s05_raw_search,state,oh,3003436883,1,20220221,,day,20210131,,0.22,,,386,1645483387,,0,5,5,736,3221
31,20220221,1,,google-symptoms,s05_raw_search,state,ok,3003436884,1,20220221,,day,20210131,,0.2666667,,,386,1645483387,,0,5,5,736,3222
32,20220221,1,,google-symptoms,s05_raw_search,state,or,3003436885,1,20220221,,day,20210131,,0.1033333,,,386,1645483387,,0,5,5,736,3223
33,20220221,1,,google-symptoms,s05_raw_search,state,pa,3003436886,1,20220221,,day,20210131,,0.2033333,,,386,1645483387,,0,5,5,736,3224
34,20220221,1,,google-symptoms,s05_raw_search,state,ri,3003436887,1,20220221,,day,20210131,,0.16,,,386,1645483387,,0,5,5,736,3225
35,20220221,1,,google-symptoms,s05_raw_search,state,sc,3003436888,1,20220221,,day,20210131,,0.3266667,,,386,1645483387,,0,5,5,736,3226
36,20220221,1,,google-symptoms,s05_raw_search,state,tn,3003436889,1,20220221,,day,20210131,,0.2566667,,,386,1645483387,,0,5,5,736,3228
37,20220221,1,,google-symptoms,s05_raw_search,state,tx,3003436890,1,20220221,,day,20210131,,0.2533333,,,386,1645483387,,0,5,5,736,3229
38,20220221,1,,google-symptoms,s05_raw_search,state,ut,3003436891,1,20220221,,day,20210131,,0.16,,,386,1645483387,,0,5,5,736,3230
39,20220221,1,,google-symptoms,s05_raw_search,state,va,3003436892,1,20220221,,day,20210131,,0.1966667,,,386,1645483387,,0,5,5,736,3231
40,20220221,1,,google-symptoms,s05_raw_search,state,wa,3003436893,1,20220221,,day,20210131,,0.1666667,,,386,1645483387,,0,5,5,736,3233
41,20220221,1,,google-symptoms,s05_raw_search,state,wi,3003436894,1,20220221,,day,20210131,,0.19,,,386,1645483387,,0,5,5,736,3234
42,20220221,1,,google-symptoms,s05_raw_search,state,wv,3003436895,1,20220221,,day,20210131,,0.2366667,,,386,1645483387,,0,5,5,736,3235
0,20220221,1,,google-symptoms,s05_raw_search,state,al,3003462971,1,20220221,,day,20210201,,0.27,,,385,1645483396,,0,5,5,736,3187
1,20220221,1,,google-symptoms,s05_raw_search,state,ar,3003462972,1,20220221,,day,20210201,,0.2433333,,,385,1645483396,,0,5,5,736,3188
