,MIN(t.issue),is_latest_issue,direction,source,signal,geo_type,geo_value,epimetric_id,strat_key_id,issue,data_as_of_dt,time_type,time_value,reference_dt,value,stderr,sample_size,lag,value_updated_timestamp,computation_as_of_dt,missing_value,missing_stderr,missing_sample_size,signal_key_id,geo_key_id
0,20220221,1,,google-symptoms,s05_smoothed_search,state,al,3003411174,1,20220221,,day,20210130,,0.3014286,,,387,1645483378,,0,5,5,737,3187
1,20220221,1,,google-symptoms,s05_smoothed_search,state,ar,3003411175,1,20220221,,day,20210130,,0.2580952,,,387,1645483378,,0,5,5,737,3188
2,20220221,1,,google-symptoms,s05_smoothed_search,state,az,3003411176,1,20220221,,day,20210130,,0.2533333,,,387,1645483378,,0,5,5,737,3189
3,20220221,1,,google-symptoms,s05_smoothed_search,state,ca,3003411177,1,20220221,,day,20210130,,0.1961905,,,387,1645483378,,0,5,5,737,3190
4,20220221,1,,google-symptoms,s05_smoothed_search,state,co,3003411178,1,20220221,,day,20210130,,0.1509524,,,387,1645483378,,0,5,5,737,3191
5,20220221,1,,google-symptoms,s05_smoothed_search,state,ct,3003411179,1,20220221,,day,20210130,,0.1914286,,,387,1645483378,,0,5,5,737,3192
6,20220221,1,,google-symptoms,s05_smoothed_search,state,dc,3003411180,1,20220221,,day,20210130,,0.0471429,,,387,1645483378,,0,5,5,737,3193
7,20220221,1,,google-symptoms,s05_smoothed_search,state,de,3003411181,1,20220221,,day,20210130,,0.0,,,387,1645483378,,0,5,5,737,3194
8,20220221,1,,google-symptoms,s05_smoothed_search,state,fl,3003411182,1,20220221,,day,20210130,,0.2085714,,,387,1645483378,,0,5,5,737,3195
9,20220221,1,,google-symptoms,s05_smoothed_search,state,ga,3003411183,1,20220221,,day,20210130,,0.2771429,,,387,1645483378,,0,5,5,737,3196
10,20220221,1,,google-symptoms,s05_smoothed_search,state,hi,3003411184,1,20220221,,day,20210130,,0.0195238,,,387,1645483378,,0,5,5,737,3197
11,20220221,1,,google-symptoms,s05_smoothed_search,state,ia,3003411185,1,20220221,,day,20210130,,0.2085714,,,387,1645483378,,0,5,5,737,3198
12,20220221,1,,google-symptoms,s05_smoothed_search,state,id,3003411186,1,20220221,,day,20210130,,0.1871429,,,387,1645483378,,0,5,5,737,3199
13,20220221,1,,google-symptoms,s05_smoothed_search,state,il,3003411187,1,20220221,,day,20210130,,0.167619,,,387,1645483378,,0,5,5,737,3200
14,20220221,1,,google-symptoms,s05_smoothed_search,state,in,3003411188,1,20220221,,day,20210130,,0.1933333,,,387,1645483378,,0,5,5,737,3201
