,MIN(t.issue),is_latest_issue,direction,source,signal,geo_type,geo_value,epimetric_id,strat_key_id,issue,data_as_of_dt,time_type,time_value,reference_dt,value,stderr,sample_size,lag,value_updated_timestamp,computation_as_of_dt,missing_value,missing_stderr,missing_sample_size,signal_key_id,geo_key_id
0,20220221,1,,google-symptoms,scontrol_raw_search,state,ak,3003411321,1,20220221,,day,20210130,,3.866,,,387,1645483378,,0,5,5,740,3186
1,20220221,1,,google-symptoms,scontrol_raw_search,state,al,3003411322,1,20220221,,day,20210130,,4.152,,,387,1645483378,,0,5,5,740,3187
2,20220221,1,,google-symptoms,scontrol_raw_search,state,ar,3003411323,1,20220221,,day,20210130,,3.746,,,387,1645483378,,0,5,5,740,3188
3,20220221,1,,google-symptoms,scontrol_raw_search,state,az,3003411324,1,20220221,,day,20210130,,3.816,,,387,1645483378,,0,5,5,740,3189
4,20220221,1,,google-symptoms,scontrol_raw_search,state,ca,3003411325,1,20220221,,day,20210130,,3.852,,,387,1645483378,,0,5,5,740,3190
5,20220221,1,,google-symptoms,scontrol_raw_search,state,co,3003411326,1,20220221,,day,20210130,,3.036,,,387,1645483378,,0,5,5,740,3191
6,20220221,1,,google-symptoms,scontrol_raw_search,state,ct,3003411327,1,20220221,,day,20210130,,3.772,,,387,1645483378,,0,5,5,740,3192
7,20220221,1,,google-symptoms,scontrol_raw_search,state,dc,3003411328,1,20220221,,day,20210130,,3.436,,,387,1645483378,,0,5,5,740,3193
8,20220221,1,,google-symptoms,scontrol_raw_search,state,de,3003411329,1,20220221,,day,20210130,,3.29,,,387,1645483378,,0,5,5,740,3194
9,20220221,1,,google-symptoms,scontrol_raw_search,state,fl,3003411330,1,20220221,,day,20210130,,3.98,,,387,1645483378,,0,5,5,740,3195
10,20220221,1,,google-symptoms,scontrol_raw_search,state,ga,3003411331,1,20220221,,day,20210130,,3.944,,,387,1645483378,,0,5,5,740,3196
