,MIN(t.issue),is_latest_issue,direction,source,signal,geo_type,geo_value,epimetric_id,strat_key_id,issue,data_as_of_dt,time_type,time_value,reference_dt,value,stderr,sample_size,lag,value_updated_timestamp,computation_as_of_dt,missing_value,missing_stderr,missing_sample_size,signal_key_id,geo_key_id
0,20211021,1,,usa-facts,confirmed_cumulative_num,state,ak,2675245653,1,20211021,,day,20210130,,53036.0,,,264,1634844531,,0,5,5,95,3186
1,20210204,1,,usa-facts,confirmed_cumulative_num,state,al,1632914129,1,20210204,,day,20210130,,455582.0,,,5,1613229146,,0,5,5,95,3187
2,20210204,1,,usa-facts,confirmed_cumulative_num,state,ar,1632914132,1,20210204,,day,20210130,,294387.0,,,5,1613229146,,0,5,5,95,3188
3,20210204,1,,usa-facts,confirmed_cumulative_num,state,az,1632914135,1,20210204,,day,20210130,,753379.0,,,5,1613229146,,0,5,5,95,3189
4,20210916,1,,usa-facts,confirmed_cumulative_num,state,ca,2604889841,1,20210916,,day,20210130,,3328904.0,,,229,1631825872,,0,5,5,95,3190
5,20210210,1,,usa-facts,confirmed_cumulative_num,state,co,1599671649,1,20210210,,day,20210130,,395016.0,,,11,1613105805,,0,5,5,95,3191
6,20210204,1,,usa-facts,confirmed_cumulative_num,state,ct,1632914145,1,20210204,,day,20210130,,250023.0,,,5,1613229146,,0,5,5,95,3192
7,20210204,1,,usa-facts,confirmed_cumulative_num,state,dc,1632914147,1,20210204,,day,20210130,,36662.0,,,5,1613229146,,0,5,5,95,3193
8,20210204,1,,usa-facts,confirmed_cumulative_num,state,de,1632914152,1,20210204,,day,20210130,,77551.0,,,5,1613229146,,0,5,5,95,3194
9,20210204,1,,usa-facts,confirmed_cumulative_num,state,fl,1632914157,1,20210204,,day,20210130,,1713589.0,,,5,1613229146,,0,5,5,95,3195
10,20210210,1,,usa-facts,confirmed_cumulative_num,state,ga,1599671651,1,20210210,,day,20210130,,746867.0,,,11,1613105805,,0,5,5,95,3196
11,20210204,1,,usa-facts,confirmed_cumulative_num,state,hi,1632914166,1,20210204,,day,20210130,,25771.0,,,5,1613229146,,0,5,5,95,3197
12,20210210,1,,usa-facts,confirmed_cumulative_num,state,ia,1599671653,1,20210210,,day,20210130,,318446.0,,,11,1613105805,,0,5,5,95,3198
13,20210210,1,,usa-facts,confirmed_cumulative_num,state,id,1599671655,1,20210210,,day,20210130,,162683.0,,,11,1613105805,,0,5,5,95,3199
14,20211020,1,,usa-facts,confirmed_cumulative_num,state,il,2667290901,1,20211020,,day,20210130,,1123873.0,,,263,1634756328,,0,5,5,95,3200
15,20210204,1,,usa-facts,confirmed_cumulative_num,state,in,1632914179,1,20210204,,day,20210130,,628339.0,,,5,1613229146,,0,5,5,95,3201
16,20210204,1,,usa-facts,confirmed_cumulative_num,state,ks,1632914183,1,20210204,,day,20210130,,277495.0,,,5,1613229146,,0,5,5,95,3202
17,20210204,1,,usa-facts,confirmed_cumulative_num,state,ky,1632914185,1,20210204,,day,20210130,,361124.0,,,5,1613229146,,0,5,5,95,3203
18,20210204,1,,usa-facts,confirmed_cumulative_num,state,la,1632914189,1,20210204,,day,20210130,,397276.0,,,5,1613229146,,0,5,5,95,3204
19,20210204,1,,usa-facts,confirmed_cumulative_num,state,ma,1632914192,1,20210204,,day,20210130,,495599.0,,,5,1613229146,,0,5,5,95,3205
20,20210204,1,,usa-facts,confirmed_cumulative_num,state,md,1632914197,1,20210204,,day,20210130,,352726.0,,,5,1613229146,,0,5,5,95,3206
21,20210210,1,,usa-facts,confirmed_cumulative_num,state,me,1599671657,1,20210210,,day,20210130,,39314.0,,,11,1613105805,,0,5,5,95,3207
