,MIN(t.issue),is_latest_issue,direction,source,signal,geo_type,geo_value,epimetric_id,strat_key_id,issue,data_as_of_dt,time_type,time_value,reference_dt,value,stderr,sample_size,lag,value_updated_timestamp,computation_as_of_dt,missing_value,missing_stderr,missing_sample_size,signal_key_id,geo_key_id
0,20211021,1,,usa-facts,confirmed_incidence_num,state,ak,2675245705,1,20211021,,day,20210130,,188.0,,,264,1634844531,,0,5,5,97,3186
1,20210204,1,,usa-facts,confirmed_incidence_num,state,al,1632914482,1,20210204,,day,20210130,,0.0,,,5,1613229146,,0,5,5,97,3187
2,20210204,1,,usa-facts,confirmed_incidence_num,state,ar,1632914485,1,20210204,,day,20210130,,1824.0,,,5,1613229146,,0,5,5,97,3188
3,20210204,1,,usa-facts,confirmed_incidence_num,state,az,1632914488,1,20210204,,day,20210130,,5119.0,,,5,1613229146,,0,5,5,97,3189
4,20210916,1,,usa-facts,confirmed_incidence_num,state,ca,2604889855,1,20210916,,day,20210130,,12923.0,,,229,1631825872,,0,5,5,97,3190
5,20210916,1,,usa-facts,confirmed_incidence_num,state,co,2604889856,1,20210916,,day,20210130,,1598.0,,,229,1631825872,,0,5,5,97,3191
6,20210204,1,,usa-facts,confirmed_incidence_num,state,ct,1632914503,1,20210204,,day,20210130,,0.0,,,5,1613229146,,0,5,5,97,3192
7,20210204,1,,usa-facts,confirmed_incidence_num,state,dc,1632914508,1,20210204,,day,20210130,,248.0,,,5,1613229146,,0,5,5,97,3193
8,20210204,1,,usa-facts,confirmed_incidence_num,state,de,1632914511,1,20210204,,day,20210130,,616.0,,,5,1613229146,,0,5,5,97,3194
9,20210204,1,,usa-facts,confirmed_incidence_num,state,fl,1632914514,1,20210204,,day,20210130,,15019.0,,,5,1613229146,,0,5,5,97,3195
10,20210210,1,,usa-facts,confirmed_incidence_num,state,ga,1599671732,1,20210210,,day,20210130,,4876.0,,,11,1613105805,,0,5,5,97,3196
11,20210204,1,,usa-facts,confirmed_incidence_num,state,hi,1632914522,1,20210204,,day,20210130,,115.0,,,5,1613229146,,0,5,5,97,3197
12,20210210,1,,usa-facts,confirmed_incidence_num,state,ia,1599671734,1,20210210,,day,20210130,,1065.0,,,11,1613105805,,0,5,5,97,3198
13,20210210,1,,usa-facts,confirmed_incidence_num,state,id,1599671736,1,20210210,,day,20210130,,329.0,,,11,1613105805,,0,5,5,97,3199
14,20211020,1,,usa-facts,confirmed_incidence_num,state,il,2667290903,1,20211020,,day,20210130,,3345.0,,,263,1634756328,,0,5,5,97,3200
15,20210204,1,,usa-facts,confirmed_incidence_num,state,in,1632914540,1,20210204,,day,20210130,,2339.0,,,5,1613229146,,0,5,5,97,3201
16,20210204,1,,usa-facts,confirmed_incidence_num,state,ks,1632914545,1,20210204,,day,20210130,,16.0,,,5,1613229146,,0,5,5,97,3202
