,MIN(t.issue),is_latest_issue,direction,source,signal,geo_type,geo_value,epimetric_id,strat_key_id,issue,data_as_of_dt,time_type,time_value,reference_dt,value,stderr,sample_size,lag,value_updated_timestamp,computation_as_of_dt,missing_value,missing_stderr,missing_sample_size,signal_key_id,geo_key_id
0,20211021,1,,usa-facts,confirmed_incidence_prop,state,ak,2675245706,1,20211021,,day,20210130,,26.0455631,,,264,1634844531,,0,5,5,98,3186
1,20210204,1,,usa-facts,confirmed_incidence_prop,state,al,1632914679,1,20210204,,day,20210130,,0.0,,,5,1613229147,,0,5,5,98,3187
2,20211021,1,,usa-facts,confirmed_incidence_prop,state,ar,2675245707,1,20211021,,day,20210130,,60.1876508,,,264,1634844531,,0,5,5,98,3188
3,20211021,1,,usa-facts,confirmed_incidence_prop,state,az,2675245708,1,20211021,,day,20210130,,68.9761947,,,264,1634844531,,0,5,5,98,3189
4,20211021,1,,usa-facts,confirmed_incidence_prop,state,ca,2675245709,1,20211021,,day,20210130,,32.8260882,,,264,1634844531,,0,5,5,98,3190
5,20211021,1,,usa-facts,confirmed_incidence_prop,state,co,2675245710,1,20211021,,day,20210130,,27.5151053,,,264,1634844531,,0,5,5,98,3191
6,20210204,1,,usa-facts,confirmed_incidence_prop,state,ct,1632914696,1,20210204,,day,20210130,,0.0,,,5,1613229147,,0,5,5,98,3192
7,20211021,1,,usa-facts,confirmed_incidence_prop,state,dc,2675245711,1,20211021,,day,20210130,,34.7915872,,,264,1634844531,,0,5,5,98,3193
8,20211021,1,,usa-facts,confirmed_incidence_prop,state,de,2675245712,1,20211021,,day,20210130,,62.4234274,,,264,1634844531,,0,5,5,98,3194
9,20211021,1,,usa-facts,confirmed_incidence_prop,state,fl,2675245713,1,20211021,,day,20210130,,69.1058961,,,264,1634844531,,0,5,5,98,3195
10,20211021,1,,usa-facts,confirmed_incidence_prop,state,ga,2675245714,1,20211021,,day,20210130,,45.5274721,,,264,1634844531,,0,5,5,98,3196
11,20211021,1,,usa-facts,confirmed_incidence_prop,state,hi,2675245715,1,20211021,,day,20210130,,8.1733838,,,264,1634844531,,0,5,5,98,3197
12,20211021,1,,usa-facts,confirmed_incidence_prop,state,ia,2675245716,1,20211021,,day,20210130,,33.6645951,,,264,1634844531,,0,5,5,98,3198
13,20211021,1,,usa-facts,confirmed_incidence_prop,state,id,2675245717,1,20211021,,day,20210130,,18.0085204,,,264,1634844531,,0,5,5,98,3199
14,20211021,1,,usa-facts,confirmed_incidence_prop,state,il,2675245718,1,20211021,,day,20210130,,26.5739188,,,264,1634844531,,0,5,5,98,3200
15,20211021,1,,usa-facts,confirmed_incidence_prop,state,in,2675245719,1,20211021,,day,20210130,,34.6264437,,,264,1634844531,,0,5,5,98,3201
16,20211021,1,,usa-facts,confirmed_incidence_prop,state,ks,2675245720,1,20211021,,day,20210130,,0.5491102,,,264,1634844531,,0,5,5,98,3202
17,20211021,1,,usa-facts,confirmed_incidence_prop,state,ky,2675245721,1,20211021,,day,20210130,,59.2104396,,,264,1634844531,,0,5,5,98,3203
18,20210204,1,,usa-facts,confirmed_incidence_prop,state,la,1632914747,1,20210204,,day,20210130,,0.0,,,5,1613229147,,0,5,5,98,3204
19,20211021,1,,usa-facts,confirmed_incidence_prop,state,ma,2675245722,1,20211021,,day,20210130,,57.4012842,,,264,1634844531,,0,5,5,98,3205
20,20211021,1,,usa-facts,confirmed_incidence_prop,state,md,2675245723,1,20211021,,day,20210130,,34.6279485,,,264,1634844531,,0,5,5,98,3206
21,20211021,1,,usa-facts,confirmed_incidence_prop,state,me,2675245724,1,20211021,,day,20210130,,11.7024814,,,264,1634844531,,0,5,5,98,3207
22,20211021,1,,usa-facts,confirmed_incidence_prop,state,mi,2675245725,1,20211021,,day,20210130,,15.160705,,,264,1634844531,,0,5,5,98,3208
23,20211021,1,,usa-facts,confirmed_incidence_prop,state,mn,2675245726,1,20211021,,day,20210130,,18.9665041,,,264,1634844531,,0,5,5,98,3209
24,20211021,1,,usa-facts,confirmed_incidence_prop,state,mo,2675245727,1,20211021,,day,20210130,,16.0447419,,,264,1634844531,,0,5,5,98,3210
25,20211021,1,,usa-facts,confirmed_incidence_prop,state,ms,2675245728,1,20211021,,day,20210130,,51.5035463,,,264,1634844531,,0,5,5,98,3211
26,20211021,1,,usa-facts,confirmed_incidence_prop,state,mt,2675245729,1,20211021,,day,20210130,,47.8448088,,,264,1634844531,,0,5,5,98,3212
27,20211021,1,,usa-facts,confirmed_incidence_prop,state,nc,2675245730,1,20211021,,day,20210130,,58.1841617,,,264,1634844531,,0,5,5,98,3213
28,20211021,1,,usa-facts,confirmed_incidence_prop,state,nd,2675245731,1,20211021,,day,20210130,,13.5892822,,,264,1634844531,,0,5,5,98,3214
