,MIN(t.issue),is_latest_issue,direction,source,signal,geo_type,geo_value,epimetric_id,strat_key_id,issue,data_as_of_dt,time_type,time_value,reference_dt,value,stderr,sample_size,lag,value_updated_timestamp,computation_as_of_dt,missing_value,missing_stderr,missing_sample_size,signal_key_id,geo_key_id
0,20210916,1,,usa-facts,deaths_7dav_incidence_num,state,ak,2604889868,1,20210916,,day,20210130,,1.1428571,,,229,1631825872,,0,5,5,101,3186
1,20210210,1,,usa-facts,deaths_7dav_incidence_num,state,al,1599671907,1,20210210,,day,20210130,,129.8571429,,,11,1613105805,,0,5,5,101,3187
2,20210204,1,,usa-facts,deaths_7dav_incidence_num,state,ar,1632915189,1,20210204,,day,20210130,,39.285714285714285,,,5,1613229147,,0,5,5,101,3188
3,20210204,1,,usa-facts,deaths_7dav_incidence_num,state,az,1632915192,1,20210204,,day,20210130,,132.42857142857142,,,5,1613229147,,0,5,5,101,3189
4,20210916,1,,usa-facts,deaths_7dav_incidence_num,state,ca,2604889869,1,20210916,,day,20210130,,473.0,,,229,1631825872,,0,5,5,101,3190
5,20210916,1,,usa-facts,deaths_7dav_incidence_num,state,co,2604889870,1,20210916,,day,20210130,,19.1428571,,,229,1631825872,,0,5,5,101,3191
6,20210204,1,,usa-facts,deaths_7dav_incidence_num,state,ct,1632915202,1,20210204,,day,20210130,,32.42857142857143,,,5,1613229147,,0,5,5,101,3192
7,20210204,1,,usa-facts,deaths_7dav_incidence_num,state,dc,1632915205,1,20210204,,day,20210130,,5.571428571428571,,,5,1613229147,,0,5,5,101,3193
8,20210204,1,,usa-facts,deaths_7dav_incidence_num,state,de,1632915208,1,20210204,,day,20210130,,6.428571428571429,,,5,1613229147,,0,5,5,101,3194
9,20210210,1,,usa-facts,deaths_7dav_incidence_num,state,fl,1599671913,1,20210210,,day,20210130,,170.8571429,,,11,1613105805,,0,5,5,101,3195
10,20210210,1,,usa-facts,deaths_7dav_incidence_num,state,ga,1599671915,1,20210210,,day,20210130,,110.0,,,11,1613105805,,0,5,5,101,3196
11,20210211,1,,usa-facts,deaths_7dav_incidence_num,state,hi,1586706667,1,20210211,,day,20210130,,10.4285714,,,12,1613083094,,0,5,5,101,3197
12,20210204,1,,usa-facts,deaths_7dav_incidence_num,state,ia,1632915220,1,20210204,,day,20210130,,23.571428571428573,,,5,1613229147,,0,5,5,101,3198
13,20210204,1,,usa-facts,deaths_7dav_incidence_num,state,id,1632915223,1,20210204,,day,20210130,,8.142857142857142,,,5,1613229147,,0,5,5,101,3199
14,20211020,1,,usa-facts,deaths_7dav_incidence_num,state,il,2667290905,1,20211020,,day,20210130,,81.2857143,,,263,1634756328,,0,5,5,101,3200
15,20210211,1,,usa-facts,deaths_7dav_incidence_num,state,in,1586706671,1,20210211,,day,20210130,,39.2857143,,,12,1613083094,,0,5,5,101,3201
16,20210204,1,,usa-facts,deaths_7dav_incidence_num,state,ks,1632915232,1,20210204,,day,20210130,,25.857142857142858,,,5,1613229147,,0,5,5,101,3202
17,20210204,1,,usa-facts,deaths_7dav_incidence_num,state,ky,1632915235,1,20210204,,day,20210130,,46.857142857142854,,,5,1613229147,,0,5,5,101,3203
18,20210204,1,,usa-facts,deaths_7dav_incidence_num,state,la,1632915238,1,20210204,,day,20210130,,45.42857142857143,,,5,1613229147,,0,5,5,101,3204
19,20210204,1,,usa-facts,deaths_7dav_incidence_num,state,ma,1632915241,1,20210204,,day,20210130,,66.71428571428571,,,5,1613229147,,0,5,5,101,3205
20,20210916,1,,usa-facts,deaths_7dav_incidence_num,state,md,2604889871,1,20210916,,day,20210130,,31.2857143,,,229,1631825872,,0,5,5,101,3206
21,20210210,1,,usa-facts,deaths_7dav_incidence_num,state,me,1599671924,1,20210210,,day,20210130,,5.1428571,,,11,1613105805,,0,5,5,101,3207
22,20210211,1,,usa-facts,deaths_7dav_incidence_num,state,mi,1586706675,1,20210211,,day,20210130,,49.5714286,,,12,1613083094,,0,5,5,101,3208
23,20210204,1,,usa-facts,deaths_7dav_incidence_num,state,mn,1632915252,1,20210204,,day,20210130,,17.714285714285715,,,5,1613229147,,0,5,5,101,3209
24,20210204,1,,usa-facts,deaths_7dav_incidence_num,state,mo,1632915256,1,20210204,,day,20210130,,29.571428571428573,,,5,1613229147,,0,5,5,101,3210
25,20210204,1,,usa-facts,deaths_7dav_incidence_num,state,ms,1632915259,1,20210204,,day,20210130,,38.142857142857146,,,5,1613229147,,0,5,5,101,3211
26,20210211,1,,usa-facts,deaths_7dav_incidence_num,state,mt,1586706677,1,20210211,,day,20210130,,13.0,,,12,1613083094,,0,5,5,101,3212
27,20210204,1,,usa-facts,deaths_7dav_incidence_num,state,nc,1632915268,1,20210204,,day,20210130,,100.28571428571429,,,5,1613229147,,0,5,5,101,3213
28,20210204,1,,usa-facts,deaths_7dav_incidence_num,state,nd,1632915271,1,20210204,,day,20210130,,1.5714285714285714,,,5,1613229147,,0,5,5,101,3214
29,20220218,1,,usa-facts,deaths_7dav_incidence_num,state,ne,2985921127,1,20220218,,day,20210130,,5.1428571,,,384,1645211511,,0,5,5,101,3215
30,20210204,1,,usa-facts,deaths_7dav_incidence_num,state,nh,1632915278,1,20210204,,day,20210130,,10.142857142857142,,,5,1613229147,,0,5,5,101,3216
31,20210204,1,,usa-facts,deaths_7dav_incidence_num,state,nj,1632915280,1,20210204,,day,20210130,,74.42857142857143,,,5,1613229147,,0,5,5,101,3217
32,20210204,1,,usa-facts,deaths_7dav_incidence_num,state,nm,1632915287,1,20210204,,day,20210130,,21.428571428571427,,,5,1613229147,,0,5,5,101,3218
33,20210204,1,,usa-facts,deaths_7dav_incidence_num,state,nv,1632915290,1,20210204,,day,20210130,,34.857142857142854,,,5,1613229147,,0,5,5,101,3219
34,20210204,1,,usa-facts,deaths_7dav_incidence_num,state,ny,1632915293,1,20210204,,day,20210130,,187.28571428571428,,,5,1613229147,,0,5,5,101,3220
35,20210210,1,,usa-facts,deaths_7dav_incidence_num,state,oh,1599671932,1,20210210,,day,20210130,,63.0,,,11,1613105805,,0,5,5,101,3221
36,20211205,1,,usa-facts,deaths_7dav_incidence_num,state,ok,2790780777,1,20211205,,day,20210130,,52.1428571,,,309,1638727619,,0,5,5,101,3222
37,20210204,1,,usa-facts,deaths_7dav_incidence_num,state,or,1632915300,1,20210204,,day,20210130,,10.428571428571429,,,5,1613229147,,0,5,5,101,3223
38,20210204,1,,usa-facts,deaths_7dav_incidence_num,state,pa,1632915304,1,20210204,,day,20210130,,153.71428571428572,,,5,1613229147,,0,5,5,101,3224
