,MIN(t.issue),is_latest_issue,direction,source,signal,geo_type,geo_value,epimetric_id,strat_key_id,issue,data_as_of_dt,time_type,time_value,reference_dt,value,stderr,sample_size,lag,value_updated_timestamp,computation_as_of_dt,missing_value,missing_stderr,missing_sample_size,signal_key_id,geo_key_id
0,20211021,1,,usa-facts,deaths_cumulative_num,state,ak,2675245803,1,20211021,,day,20210130,,282.0,,,264,1634844531,,0,5,5,103,3186
1,20210210,1,,usa-facts,deaths_cumulative_num,state,al,1599671966,1,20210210,,day,20210130,,7566.0,,,11,1613105806,,0,5,5,103,3187
2,20210204,1,,usa-facts,deaths_cumulative_num,state,ar,1632915467,1,20210204,,day,20210130,,4838.0,,,5,1613229147,,0,5,5,103,3188
3,20210204,1,,usa-facts,deaths_cumulative_num,state,az,1632915471,1,20210204,,day,20210130,,13097.0,,,5,1613229147,,0,5,5,103,3189
4,20210916,1,,usa-facts,deaths_cumulative_num,state,ca,2604889881,1,20210916,,day,20210130,,50772.0,,,229,1631825872,,0,5,5,103,3190
5,20210210,1,,usa-facts,deaths_cumulative_num,state,co,1599671968,1,20210210,,day,20210130,,5616.0,,,11,1613105806,,0,5,5,103,3191
6,20210204,1,,usa-facts,deaths_cumulative_num,state,ct,1632915480,1,20210204,,day,20210130,,7046.0,,,5,1613229147,,0,5,5,103,3192
7,20210204,1,,usa-facts,deaths_cumulative_num,state,dc,1632915482,1,20210204,,day,20210130,,909.0,,,5,1613229147,,0,5,5,103,3193
8,20210204,1,,usa-facts,deaths_cumulative_num,state,de,1632915486,1,20210204,,day,20210130,,1081.0,,,5,1613229147,,0,5,5,103,3194
9,20210210,1,,usa-facts,deaths_cumulative_num,state,fl,1599671970,1,20210210,,day,20210130,,26360.0,,,11,1613105806,,0,5,5,103,3195
10,20210210,1,,usa-facts,deaths_cumulative_num,state,ga,1599671972,1,20210210,,day,20210130,,12568.0,,,11,1613105806,,0,5,5,103,3196
11,20210210,1,,usa-facts,deaths_cumulative_num,state,hi,1599671974,1,20210210,,day,20210130,,401.0,,,11,1613105806,,0,5,5,103,3197
12,20210204,1,,usa-facts,deaths_cumulative_num,state,ia,1632915498,1,20210204,,day,20210130,,4651.0,,,5,1613229147,,0,5,5,103,3198
13,20210204,1,,usa-facts,deaths_cumulative_num,state,id,1632915501,1,20210204,,day,20210130,,1725.0,,,5,1613229147,,0,5,5,103,3199
14,20211020,1,,usa-facts,deaths_cumulative_num,state,il,2667290909,1,20211020,,day,20210130,,21213.0,,,263,1634756328,,0,5,5,103,3200
15,20210204,1,,usa-facts,deaths_cumulative_num,state,in,1632915507,1,20210204,,day,20210130,,9967.0,,,5,1613229147,,0,5,5,103,3201
16,20210204,1,,usa-facts,deaths_cumulative_num,state,ks,1632915509,1,20210204,,day,20210130,,3779.0,,,5,1613229147,,0,5,5,103,3202
17,20210204,1,,usa-facts,deaths_cumulative_num,state,ky,1632915511,1,20210204,,day,20210130,,3714.0,,,5,1613229147,,0,5,5,103,3203
18,20210204,1,,usa-facts,deaths_cumulative_num,state,la,1632915513,1,20210204,,day,20210130,,8801.0,,,5,1613229147,,0,5,5,103,3204
19,20210204,1,,usa-facts,deaths_cumulative_num,state,ma,1632915516,1,20210204,,day,20210130,,14531.0,,,5,1613229147,,0,5,5,103,3205
20,20210916,1,,usa-facts,deaths_cumulative_num,state,md,2604889882,1,20210916,,day,20210130,,7068.0,,,229,1631825872,,0,5,5,103,3206
21,20210210,1,,usa-facts,deaths_cumulative_num,state,me,1599671978,1,20210210,,day,20210130,,627.0,,,11,1613105806,,0,5,5,103,3207
22,20210210,1,,usa-facts,deaths_cumulative_num,state,mi,1599671980,1,20210210,,day,20210130,,15525.0,,,11,1613105806,,0,5,5,103,3208
23,20210204,1,,usa-facts,deaths_cumulative_num,state,mn,1632915531,1,20210204,,day,20210130,,6187.0,,,5,1613229147,,0,5,5,103,3209
24,20210204,1,,usa-facts,deaths_cumulative_num,state,mo,1632915535,1,20210204,,day,20210130,,6748.0,,,5,1613229147,,0,5,5,103,3210
25,20210204,1,,usa-facts,deaths_cumulative_num,state,ms,1632915541,1,20210204,,day,20210130,,6019.0,,,5,1613229147,,0,5,5,103,3211
26,20210211,1,,usa-facts,deaths_cumulative_num,state,mt,1586706717,1,20210211,,day,20210130,,1234.0,,,12,1613083094,,0,5,5,103,3212
