,MIN(t.issue),is_latest_issue,direction,source,signal,geo_type,geo_value,epimetric_id,strat_key_id,issue,data_as_of_dt,time_type,time_value,reference_dt,value,stderr,sample_size,lag,value_updated_timestamp,computation_as_of_dt,missing_value,missing_stderr,missing_sample_size,signal_key_id,geo_key_id
0,20211021,1,,usa-facts,deaths_cumulative_prop,state,ak,2675245804,1,20211021,,day,20210130,,39.0683447,,,264,1634844531,,0,5,5,104,3186
1,20211021,1,,usa-facts,deaths_cumulative_prop,state,al,2675245805,1,20211021,,day,20210130,,153.7326182,,,264,1634844531,,0,5,5,104,3187
2,20211021,1,,usa-facts,deaths_cumulative_prop,state,ar,2675245806,1,20211021,,day,20210130,,159.6424642,,,264,1634844531,,0,5,5,104,3188
3,20211021,1,,usa-facts,deaths_cumulative_prop,state,az,2675245807,1,20211021,,day,20210130,,176.4761128,,,264,1634844531,,0,5,5,104,3189
4,20211021,1,,usa-facts,deaths_cumulative_prop,state,ca,2675245808,1,20211021,,day,20210130,,128.967434,,,264,1634844531,,0,5,5,104,3190
5,20211021,1,,usa-facts,deaths_cumulative_prop,state,co,2675245809,1,20211021,,day,20210130,,96.6988933,,,264,1634844531,,0,5,5,104,3191
6,20211021,1,,usa-facts,deaths_cumulative_prop,state,ct,2675245810,1,20211021,,day,20210130,,198.0879425,,,264,1634844531,,0,5,5,104,3192
7,20211021,1,,usa-facts,deaths_cumulative_prop,state,dc,2675245811,1,20211021,,day,20210130,,127.5223901,,,264,1634844531,,0,5,5,104,3193
8,20211021,1,,usa-facts,deaths_cumulative_prop,state,de,2675245812,1,20211021,,day,20210130,,109.5450082,,,264,1634844531,,0,5,5,104,3194
9,20211021,1,,usa-facts,deaths_cumulative_prop,state,fl,2675245813,1,20211021,,day,20210130,,121.2884626,,,264,1634844531,,0,5,5,104,3195
10,20211021,1,,usa-facts,deaths_cumulative_prop,state,ga,2675245814,1,20211021,,day,20210130,,117.3480864,,,264,1634844531,,0,5,5,104,3196
11,20211021,1,,usa-facts,deaths_cumulative_prop,state,hi,2675245815,1,20211021,,day,20210130,,28.5002338,,,264,1634844531,,0,5,5,104,3197
12,20211021,1,,usa-facts,deaths_cumulative_prop,state,ia,2675245816,1,20211021,,day,20210130,,147.0178701,,,264,1634844531,,0,5,5,104,3198
13,20211021,1,,usa-facts,deaths_cumulative_prop,state,id,2675245817,1,20211021,,day,20210130,,94.4215734,,,264,1634844531,,0,5,5,104,3199
14,20211021,1,,usa-facts,deaths_cumulative_prop,state,il,2675245818,1,20211021,,day,20210130,,168.523928,,,264,1634844531,,0,5,5,104,3200
15,20211021,1,,usa-facts,deaths_cumulative_prop,state,in,2675245819,1,20211021,,day,20210130,,147.5509896,,,264,1634844531,,0,5,5,104,3201
16,20211021,1,,usa-facts,deaths_cumulative_prop,state,ks,2675245820,1,20211021,,day,20210130,,129.6929616,,,264,1634844531,,0,5,5,104,3202
17,20211021,1,,usa-facts,deaths_cumulative_prop,state,ky,2675245821,1,20211021,,day,20210130,,82.9526868,,,264,1634844531,,0,5,5,104,3203
18,20211021,1,,usa-facts,deaths_cumulative_prop,state,la,2675245822,1,20211021,,day,20210130,,189.4595806,,,264,1634844531,,0,5,5,104,3204
19,20211021,1,,usa-facts,deaths_cumulative_prop,state,ma,2675245823,1,20211021,,day,20210130,,210.790513,,,264,1634844531,,0,5,5,104,3205
20,20211021,1,,usa-facts,deaths_cumulative_prop,state,md,2675245824,1,20211021,,day,20210130,,116.7145161,,,264,1634844531,,0,5,5,104,3206
21,20211021,1,,usa-facts,deaths_cumulative_prop,state,me,2675245825,1,20211021,,day,20210130,,46.4395941,,,264,1634844531,,0,5,5,104,3207
22,20211021,1,,usa-facts,deaths_cumulative_prop,state,mi,2675245826,1,20211021,,day,20210130,,155.770976,,,264,1634844531,,0,5,5,104,3208
23,20211021,1,,usa-facts,deaths_cumulative_prop,state,mn,2675245827,1,20211021,,day,20210130,,109.3623118,,,264,1634844531,,0,5,5,104,3209
24,20211021,1,,usa-facts,deaths_cumulative_prop,state,mo,2675245828,1,20211021,,day,20210130,,109.695966,,,264,1634844531,,0,5,5,104,3210
25,20211021,1,,usa-facts,deaths_cumulative_prop,state,ms,2675245829,1,20211021,,day,20210130,,202.8794797,,,264,1634844531,,0,5,5,104,3211
26,20211021,1,,usa-facts,deaths_cumulative_prop,state,mt,2675245830,1,20211021,,day,20210130,,114.1982478,,,264,1634844531,,0,5,5,104,3212
27,20211021,1,,usa-facts,deaths_cumulative_prop,state,nc,2675245831,1,20211021,,day,20210130,,87.6064057,,,264,1634844531,,0,5,5,104,3213
28,20211021,1,,usa-facts,deaths_cumulative_prop,state,nd,2675245832,1,20211021,,day,20210130,,185.8073014,,,264,1634844531,,0,5,5,104,3214
29,20220218,1,,usa-facts,deaths_cumulative_prop,state,ne,2985921130,1,20220218,,day,20210130,,98.6812225,,,384,1645211511,,0,5,5,104,3215
30,20211021,1,,usa-facts,deaths_cumulative_prop,state,nh,2675245834,1,20211021,,day,20210130,,76.2657591,,,264,1634844531,,0,5,5,104,3216
31,20211021,1,,usa-facts,deaths_cumulative_prop,state,nj,2675245835,1,20211021,,day,20210130,,241.5458665,,,264,1634844531,,0,5,5,104,3217
32,20211021,1,,usa-facts,deaths_cumulative_prop,state,nm,2675245836,1,20211021,,day,20210130,,155.0097587,,,264,1634844531,,0,5,5,104,3218
33,20211021,1,,usa-facts,deaths_cumulative_prop,state,nv,2675245837,1,20211021,,day,20210130,,132.7806277,,,264,1634844531,,0,5,5,104,3219
34,20211021,1,,usa-facts,deaths_cumulative_prop,state,ny,2675245838,1,20211021,,day,20210130,,223.2688634,,,264,1634844531,,0,5,5,104,3220
35,20211021,1,,usa-facts,deaths_cumulative_prop,state,oh,2675245839,1,20211021,,day,20210130,,95.1064194,,,264,1634844531,,0,5,5,104,3221
36,20211205,1,,usa-facts,deaths_cumulative_prop,state,ok,2790780780,1,20211205,,day,20210130,,179.6129053,,,309,1638727619,,0,5,5,104,3222
37,20211021,1,,usa-facts,deaths_cumulative_prop,state,or,2675245841,1,20211021,,day,20210130,,45.6913074,,,264,1634844531,,0,5,5,104,3223
38,20211021,1,,usa-facts,deaths_cumulative_prop,state,pa,2675245842,1,20211021,,day,20210130,,168.9867071,,,264,1634844531,,0,5,5,104,3224
39,20211021,1,,usa-facts,deaths_cumulative_prop,state,ri,2675245843,1,20211021,,day,20210130,,196.3816956,,,264,1634844531,,0,5,5,104,3225
40,20211021,1,,usa-facts,deaths_cumulative_prop,state,sc,2675245844,1,20211021,,day,20210130,,134.4182873,,,264,1634844531,,0,5,5,104,3226
41,20211021,1,,usa-facts,deaths_cumulative_prop,state,sd,2675245845,1,20211021,,day,20210130,,198.8312085,,,264,1634844531,,0,5,5,104,3227
