,MIN(t.issue),is_latest_issue,direction,source,signal,geo_type,geo_value,epimetric_id,strat_key_id,issue,data_as_of_dt,time_type,time_value,reference_dt,value,stderr,sample_size,lag,value_updated_timestamp,computation_as_of_dt,missing_value,missing_stderr,missing_sample_size,signal_key_id,geo_key_id
0,20210916,1,,usa-facts,deaths_incidence_num,state,ak,2604889890,1,20210916,,day,20210130,,1.0,,,229,1631825872,,0,5,5,105,3186
1,20210211,1,,usa-facts,deaths_incidence_num,state,al,1586706732,1,20210211,,day,20210130,,2.0,,,12,1613083094,,0,5,5,105,3187
2,20210204,1,,usa-facts,deaths_incidence_num,state,ar,1632915842,1,20210204,,day,20210130,,7.0,,,5,1613229147,,0,5,5,105,3188
3,20210204,1,,usa-facts,deaths_incidence_num,state,az,1632915845,1,20210204,,day,20210130,,76.0,,,5,1613229147,,0,5,5,105,3189
4,20210916,1,,usa-facts,deaths_incidence_num,state,ca,2604889891,1,20210916,,day,20210130,,456.0,,,229,1631825872,,0,5,5,105,3190
5,20210916,1,,usa-facts,deaths_incidence_num,state,co,2604889892,1,20210916,,day,20210130,,22.0,,,229,1631825872,,0,5,5,105,3191
6,20210204,1,,usa-facts,deaths_incidence_num,state,ct,1632915854,1,20210204,,day,20210130,,0.0,,,5,1613229147,,0,5,5,105,3192
7,20210204,1,,usa-facts,deaths_incidence_num,state,dc,1632915857,1,20210204,,day,20210130,,2.0,,,5,1613229147,,0,5,5,105,3193
8,20210204,1,,usa-facts,deaths_incidence_num,state,de,1632915862,1,20210204,,day,20210130,,3.0,,,5,1613229147,,0,5,5,105,3194
9,20210211,1,,usa-facts,deaths_incidence_num,state,fl,1586706738,1,20210211,,day,20210130,,116.0,,,12,1613083094,,0,5,5,105,3195
10,20210210,1,,usa-facts,deaths_incidence_num,state,ga,1599672019,1,20210210,,day,20210130,,158.0,,,11,1613105806,,0,5,5,105,3196
11,20210204,1,,usa-facts,deaths_incidence_num,state,hi,1632915871,1,20210204,,day,20210130,,0.0,,,5,1613229147,,0,5,5,105,3197
12,20210204,1,,usa-facts,deaths_incidence_num,state,ia,1632915874,1,20210204,,day,20210130,,74.0,,,5,1613229147,,0,5,5,105,3198
13,20210204,1,,usa-facts,deaths_incidence_num,state,id,1632915877,1,20210204,,day,20210130,,0.0,,,5,1613229147,,0,5,5,105,3199
14,20211020,1,,usa-facts,deaths_incidence_num,state,il,2667290913,1,20211020,,day,20210130,,67.0,,,263,1634756328,,0,5,5,105,3200
15,20210204,1,,usa-facts,deaths_incidence_num,state,in,1632915888,1,20210204,,day,20210130,,42.0,,,5,1613229147,,0,5,5,105,3201
16,20210204,1,,usa-facts,deaths_incidence_num,state,ks,1632915891,1,20210204,,day,20210130,,0.0,,,5,1613229147,,0,5,5,105,3202
17,20210204,1,,usa-facts,deaths_incidence_num,state,ky,1632915894,1,20210204,,day,20210130,,46.0,,,5,1613229147,,0,5,5,105,3203
18,20210204,1,,usa-facts,deaths_incidence_num,state,la,1632915897,1,20210204,,day,20210130,,0.0,,,5,1613229147,,0,5,5,105,3204
19,20210204,1,,usa-facts,deaths_incidence_num,state,ma,1632915900,1,20210204,,day,20210130,,87.0,,,5,1613229147,,0,5,5,105,3205
20,20210204,1,,usa-facts,deaths_incidence_num,state,md,1632915903,1,20210204,,day,20210130,,38.0,,,5,1613229147,,0,5,5,105,3206
21,20210210,1,,usa-facts,deaths_incidence_num,state,me,1599672020,1,20210210,,day,20210130,,2.0,,,11,1613105806,,0,5,5,105,3207
22,20210210,1,,usa-facts,deaths_incidence_num,state,mi,1599672022,1,20210210,,day,20210130,,115.0,,,11,1613105806,,0,5,5,105,3208
23,20210204,1,,usa-facts,deaths_incidence_num,state,mn,1632915912,1,20210204,,day,20210130,,19.0,,,5,1613229147,,0,5,5,105,3209
24,20210204,1,,usa-facts,deaths_incidence_num,state,mo,1632915915,1,20210204,,day,20210130,,9.0,,,5,1613229147,,0,5,5,105,3210
25,20210204,1,,usa-facts,deaths_incidence_num,state,ms,1632915918,1,20210204,,day,20210130,,37.0,,,5,1613229147,,0,5,5,105,3211
26,20210204,1,,usa-facts,deaths_incidence_num,state,mt,1632915921,1,20210204,,day,20210130,,5.0,,,5,1613229147,,0,5,5,105,3212
27,20210204,1,,usa-facts,deaths_incidence_num,state,nc,1632915924,1,20210204,,day,20210130,,131.0,,,5,1613229147,,0,5,5,105,3213
28,20210204,1,,usa-facts,deaths_incidence_num,state,nd,1632915927,1,20210204,,day,20210130,,3.0,,,5,1613229147,,0,5,5,105,3214
29,20220218,1,,usa-facts,deaths_incidence_num,state,ne,2985921131,1,20220218,,day,20210130,,-1.0,,,384,1645211511,,0,5,5,105,3215
30,20210204,1,,usa-facts,deaths_incidence_num,state,nh,1632915933,1,20210204,,day,20210130,,6.0,,,5,1613229147,,0,5,5,105,3216
31,20210204,1,,usa-facts,deaths_incidence_num,state,nj,1632915936,1,20210204,,day,20210130,,72.0,,,5,1613229147,,0,5,5,105,3217
32,20210204,1,,usa-facts,deaths_incidence_num,state,nm,1632915938,1,20210204,,day,20210130,,17.0,,,5,1613229147,,0,5,5,105,3218
33,20210204,1,,usa-facts,deaths_incidence_num,state,nv,1632915941,1,20210204,,day,20210130,,43.0,,,5,1613229147,,0,5,5,105,3219
34,20210204,1,,usa-facts,deaths_incidence_num,state,ny,1632915944,1,20210204,,day,20210130,,172.0,,,5,1613229147,,0,5,5,105,3220
35,20210204,1,,usa-facts,deaths_incidence_num,state,oh,1632915947,1,20210204,,day,20210130,,51.0,,,5,1613229147,,0,5,5,105,3221
36,20211205,1,,usa-facts,deaths_incidence_num,state,ok,2790780781,1,20211205,,day,20210130,,365.0,,,309,1638727619,,0,5,5,105,3222
37,20210204,1,,usa-facts,deaths_incidence_num,state,or,1632915953,1,20210204,,day,20210130,,0.0,,,5,1613229147,,0,5,5,105,3223
38,20210204,1,,usa-facts,deaths_incidence_num,state,pa,1632915956,1,20210204,,day,20210130,,140.0,,,5,1613229147,,0,5,5,105,3224
39,20210204,1,,usa-facts,deaths_incidence_num,state,ri,1632915959,1,20210204,,day,20210130,,0.0,,,5,1613229147,,0,5,5,105,3225
40,20210204,1,,usa-facts,deaths_incidence_num,state,sc,1632915962,1,20210204,,day,20210130,,72.0,,,5,1613229147,,0,5,5,105,3226
41,20210211,1,,usa-facts,deaths_incidence_num,state,sd,1586706745,1,20210211,,day,20210130,,8.0,,,12,1613083094,,0,5,5,105,3227
42,20210916,1,,usa-facts,deaths_incidence_num,state,tn,2604889893,1,20210916,,day,20210130,,56.0,,,229,1631825872,,0,5,5,105,3228
43,20211020,1,,usa-facts,deaths_incidence_num,state,tx,2667290914,1,20211020,,day,20210130,,272.0,,,263,1634756328,,0,5,5,105,3229
44,20210204,1,,usa-facts,deaths_incidence_num,state,ut,1632915974,1,20210204,,day,20210130,,8.0,,,5,1613229147,,0,5,5,105,3230
45,20210210,1,,usa-facts,deaths_incidence_num,state,va,1599672030,1,20210210,,day,20210130,,70.0,,,11,1613105806,,0,5,5,105,3231
46,20210204,1,,usa-facts,deaths_incidence_num,state,vt,1632915980,1,20210204,,day,20210130,,1.0,,,5,1613229147,,0,5,5,105,3232
47,20210211,1,,usa-facts,deaths_incidence_num,state,wa,1586706747,1,20210211,,day,20210130,,3.0,,,12,1613083094,,0,5,5,105,3233
48,20210916,1,,usa-facts,deaths_incidence_num,state,wi,2604889894,1,20210916,,day,20210130,,33.0,,,229,1631825872,,0,5,5,105,3234
49,20210204,1,,usa-facts,deaths_incidence_num,state,wv,1632915989,1,20210204,,day,20210130,,9.0,,,5,1613229147,,0,5,5,105,3235
50,20210204,1,,usa-facts,deaths_incidence_num,state,wy,1632915991,1,20210204,,day,20210130,,0.0,,,5,1613229147,,0,5,5,105,3236
0,20210916,1,,usa-facts,deaths_incidence_num,state,ak,2604894379,1,20210916,,day,20210131,,-1.0,,,228,1631825876,,0,5,5,105,3186
1,20210210,1,,usa-facts,deaths_incidence_num,state,al,1599697607,1,20210210,,day,20210131,,122.0,,,10,1613105811,,0,5,5,105,3187
2,20210203,1,,usa-facts,deaths_incidence_num,state,ar,1584777326,1,20210203,,day,20210131,,30.0,,,3,1613066555,,0,5,5,105,3188
3,20210203,1,,usa-facts,deaths_incidence_num,state,az,1584777330,1,20210203,,day,20210131,,23.0,,,3,1613066555,,0,5,5,105,3189
4,20210916,1,,usa-facts,deaths_incidence_num,state,ca,2604894380,1,20210916,,day,20210131,,429.0,,,228,1631825876,,0,5,5,105,3190
5,20210210,1,,usa-facts,deaths_incidence_num,state,co,1599697610,1,20210210,,day,20210131,,21.0,,,10,1613105811,,0,5,5,105,3191
6,20210203,1,,usa-facts,deaths_incidence_num,state,ct,1584777334,1,20210203,,day,20210131,,0.0,,,3,1613066555,,0,5,5,105,3192
7,20210203,1,,usa-facts,deaths_incidence_num,state,dc,1584777335,1,20210203,,day,20210131,,4.0,,,3,1613066555,,0,5,5,105,3193
8,20210203,1,,usa-facts,deaths_incidence_num,state,de,1584777337,1,20210203,,day,20210131,,9.0,,,3,1613066555,,0,5,5,105,3194
9,20210210,1,,usa-facts,deaths_incidence_num,state,fl,1599697613,1,20210210,,day,20210131,,119.0,,,10,1613105811,,0,5,5,105,3195
10,20210203,1,,usa-facts,deaths_incidence_num,state,ga,1584777341,1,20210203,,day,20210131,,2.0,,,3,1613066555,,0,5,5,105,3196
11,20210210,1,,usa-facts,deaths_incidence_num,state,hi,1599697618,1,20210210,,day,20210131,,0.0,,,10,1613105811,,0,5,5,105,3197
12,20210203,1,,usa-facts,deaths_incidence_num,state,ia,1584777347,1,20210203,,day,20210131,,250.0,,,3,1613066555,,0,5,5,105,3198
13,20210203,1,,usa-facts,deaths_incidence_num,state,id,1584777349,1,20210203,,day,20210131,,0.0,,,3,1613066555,,0,5,5,105,3199
14,20210203,1,,usa-facts,deaths_incidence_num,state,il,1584777351,1,20210203,,day,20210131,,40.0,,,3,1613066555,,0,5,5,105,3200
15,20210203,1,,usa-facts,deaths_incidence_num,state,in,1584777355,1,20210203,,day,20210131,,7.0,,,3,1613066555,,0,5,5,105,3201
16,20210203,1,,usa-facts,deaths_incidence_num,state,ks,1584777359,1,20210203,,day,20210131,,0.0,,,3,1613066555,,0,5,5,105,3202
17,20210203,1,,usa-facts,deaths_incidence_num,state,ky,1584777362,1,20210203,,day,20210131,,31.0,,,3,1613066555,,0,5,5,105,3203
18,20210203,1,,usa-facts,deaths_incidence_num,state,la,1584777365,1,20210203,,day,20210131,,58.0,,,3,1613066555,,0,5,5,105,3204
19,20210203,1,,usa-facts,deaths_incidence_num,state,ma,1584777370,1,20210203,,day,20210131,,46.0,,,3,1613066555,,0,5,5,105,3205
20,20210203,1,,usa-facts,deaths_incidence_num,state,md,1584777374,1,20210203,,day,20210131,,16.0,,,3,1613066555,,0,5,5,105,3206
21,20210203,1,,usa-facts,deaths_incidence_num,state,me,1584777378,1,20210203,,day,20210131,,0.0,,,3,1613066555,,0,5,5,105,3207
22,20210203,1,,usa-facts,deaths_incidence_num,state,mi,1584777381,1,20210203,,day,20210131,,0.0,,,3,1613066555,,0,5,5,105,3208
23,20210203,1,,usa-facts,deaths_incidence_num,state,mn,1584777385,1,20210203,,day,20210131,,13.0,,,3,1613066555,,0,5,5,105,3209
24,20210203,1,,usa-facts,deaths_incidence_num,state,mo,1584777387,1,20210203,,day,20210131,,0.0,,,3,1613066555,,0,5,5,105,3210
25,20210203,1,,usa-facts,deaths_incidence_num,state,ms,1584777389,1,20210203,,day,20210131,,26.0,,,3,1613066555,,0,5,5,105,3211
26,20210203,1,,usa-facts,deaths_incidence_num,state,mt,1584777394,1,20210203,,day,20210131,,1.0,,,3,1613066555,,0,5,5,105,3212
27,20210203,1,,usa-facts,deaths_incidence_num,state,nc,1584777395,1,20210203,,day,20210131,,46.0,,,3,1613066555,,0,5,5,105,3213
28,20210203,1,,usa-facts,deaths_incidence_num,state,nd,1584777400,1,20210203,,day,20210131,,0.0,,,3,1613066555,,0,5,5,105,3214
29,20210203,1,,usa-facts,deaths_incidence_num,state,ne,1584777404,1,20210203,,day,20210131,,0.0,,,3,1613066555,,0,5,5,105,3215
30,20210203,1,,usa-facts,deaths_incidence_num,state,nh,1584777407,1,20210203,,day,20210131,,15.0,,,3,1613066555,,0,5,5,105,3216
31,20210210,1,,usa-facts,deaths_incidence_num,state,nj,1599697624,1,20210210,,day,20210131,,29.0,,,10,1613105811,,0,5,5,105,3217
32,20210203,1,,usa-facts,deaths_incidence_num,state,nm,1584777411,1,20210203,,day,20210131,,18.0,,,3,1613066555,,0,5,5,105,3218
