	geo_value	signal	time_value	issue	lag	missing_value	missing_stderr	missing_sample_size	value	stderr	sample_size	geo_type	data_source
0	us	confirmed_7dav_incidence_num	2021-01-30	2022-02-18	384	0	5	5	143414.0			nation	usa-facts
0	us	confirmed_7dav_incidence_num	2021-01-31	2022-02-18	383	0	5	5	140186.2857143			nation	usa-facts
0	us	confirmed_7dav_incidence_num	2021-02-01	2022-02-18	382	0	5	5	139774.4285714			nation	usa-facts
0	us	confirmed_7dav_incidence_num	2021-02-02	2022-02-18	381	0	5	5	135683.2857143			nation	usa-facts
0	us	confirmed_7dav_incidence_num	2021-02-03	2022-02-18	380	0	5	5	130344.0			nation	usa-facts
0	us	confirmed_7dav_incidence_num	2021-02-04	2022-02-18	379	0	5	5	125666.1428571			nation	usa-facts
0	us	confirmed_7dav_incidence_num	2021-02-05	2022-02-18	378	0	5	5	121054.5714286			nation	usa-facts
0	us	confirmed_7dav_incidence_num	2021-02-06	2022-02-18	377	0	5	5	114711.7142857			nation	usa-facts
0	us	confirmed_7dav_incidence_num	2021-02-07	2022-02-18	376	0	5	5	113488.5714286			nation	usa-facts
0	us	confirmed_7dav_incidence_num	2021-02-08	2022-02-18	375	0	5	5	107285.8571429			nation	usa-facts
0	us	confirmed_7dav_incidence_num	2021-02-09	2022-02-18	374	0	5	5	103779.4285714			nation	usa-facts
0	us	confirmed_7dav_incidence_num	2021-02-10	2022-02-18	373	0	5	5	100664.7142857			nation	usa-facts
0	us	confirmed_7dav_incidence_num	2021-02-11	2022-02-18	372	0	5	5	97463.2857143			nation	usa-facts
0	us	confirmed_7dav_incidence_num	2021-02-12	2022-02-18	371	0	5	5	92651.0			nation	usa-facts
0	us	confirmed_7dav_incidence_num	2021-02-13	2022-02-18	370	0	5	5	90953.7142857			nation	usa-facts
0	us	confirmed_7dav_incidence_num	2021-02-14	2022-02-18	369	0	5	5	85978.8571429			nation	usa-facts
0	us	confirmed_7dav_incidence_num	2021-02-15	2022-02-18	368	0	5	5	82587.5714286			nation	usa-facts
0	us	confirmed_7dav_incidence_num	2021-02-16	2022-02-18	367	0	5	5	77326.1428571			nation	usa-facts
0	us	confirmed_7dav_incidence_num	2021-02-17	2022-02-18	366	0	5	5	73347.0			nation	usa-facts
0	us	confirmed_7dav_incidence_num	2021-02-18	2022-02-18	365	0	5	5	68633.2857143			nation	usa-facts
0	us	confirmed_7dav_incidence_num	2021-02-19	2022-02-18	364	0	5	5	65362.5714286			nation	usa-facts
0	us	confirmed_7dav_incidence_num	2021-02-20	2022-02-18	363	0	5	5	63094.4285714			nation	usa-facts
0	us	confirmed_7dav_incidence_num	2021-02-21	2022-02-18	362	0	5	5	61653.1428571			nation	usa-facts
0	us	confirmed_7dav_incidence_num	2021-02-22	2022-02-18	361	0	5	5	61707.8571429			nation	usa-facts
0	us	confirmed_7dav_incidence_num	2021-02-23	2022-02-18	360	0	5	5	63257.2857143			nation	usa-facts
0	us	confirmed_7dav_incidence_num	2021-02-24	2022-02-18	359	0	5	5	63961.8571429			nation	usa-facts
0	us	confirmed_7dav_incidence_num	2021-02-25	2022-02-18	358	0	5	5	65479.8571429			nation	usa-facts
0	us	confirmed_7dav_incidence_num	2021-02-26	2022-02-18	357	0	5	5	64063.4285714			nation	usa-facts
0	us	confirmed_7dav_incidence_num	2021-02-27	2022-02-18	356	0	5	5	65429.7142857			nation	usa-facts
0	us	confirmed_7dav_incidence_num	2021-02-28	2022-02-18	355	0	5	5	64976.4285714			nation	usa-facts
0	us	confirmed_7dav_incidence_num	2021-03-01	2022-02-18	354	0	5	5	64311.1428571			nation	usa-facts
0	us	confirmed_7dav_incidence_num	2021-03-02	2022-02-18	353	0	5	5	62442.2857143			nation	usa-facts
0	us	confirmed_7dav_incidence_num	2021-03-03	2022-02-18	352	0	5	5	61645.4285714			nation	usa-facts
0	us	confirmed_7dav_incidence_num	2021-03-04	2022-02-18	351	0	5	5	60013.1428571			nation	usa-facts
0	us	confirmed_7dav_incidence_num	2021-03-05	2022-02-18	350	0	5	5	60536.4285714			nation	usa-facts
0	us	confirmed_7dav_incidence_num	2021-03-06	2022-02-18	349	0	5	5	57285.0			nation	usa-facts
0	us	confirmed_7dav_incidence_num	2021-03-07	2022-02-18	348	0	5	5	56023.2857143			nation	usa-facts
0	us	confirmed_7dav_incidence_num	2021-03-08	2022-02-18	347	0	5	5	55597.4285714			nation	usa-facts
0	us	confirmed_7dav_incidence_num	2021-03-09	2022-02-18	346	0	5	5	55614.8571429			nation	usa-facts
0	us	confirmed_7dav_incidence_num	2021-03-10	2022-02-18	345	0	5	5	54058.4285714			nation	usa-facts
0	us	confirmed_7dav_incidence_num	2021-03-11	2022-02-18	344	0	5	5	53099.0			nation	usa-facts
0	us	confirmed_7dav_incidence_num	2021-03-12	2022-02-18	343	0	5	5	52101.2857143			nation	usa-facts
