usa_or_hhsregion	week_ending	variant	share	share_hi	share_lo	count_lt10	modeltype	time_interval	creation_date
USA	2022-06-18T00:00:00.000	BA.2.12.1	0.5293858051300049	0.5528972148895264	0.5057448744773865	NULL	smoothed	weekly	2022-06-28T00:00:00.000
USA	2022-06-18T00:00:00.000	BA.5	0.250653862953186	0.2759409546852112	0.2269332855939865	NULL	smoothed	weekly	2022-06-28T00:00:00.000
USA	2022-06-18T00:00:00.000	BA.4	0.1226798221468925	0.1375790685415268	0.1091685965657234	NULL	smoothed	weekly	2022-06-28T00:00:00.000
USA	2022-06-18T00:00:00.000	B.1.617.2	2.816000765903937E-9	2.310242486203151E-8	5.073252928866623e-11	NULL	smoothed	weekly	2022-06-28T00:00:00.000
USA	2022-06-18T00:00:00.000	BA.1.1	0.00001313108259637374	0.00001682896436250303	1.022638934955467e-05	NULL	smoothed	weekly	2022-06-28T00:00:00.000
USA	2022-06-18T00:00:00.000	BA.2	0.09715735167264938	0.1057996526360512	0.08914352208375931	NULL	smoothed	weekly	2022-06-28T00:00:00.000
USA	2022-06-18T00:00:00.000	B.1.1.529	0.000004157191142439842	0.0000133970434035291	1.055200982591487e-06	NULL	smoothed	weekly	2022-06-28T00:00:00.000
USA	2022-06-18T00:00:00.000	Other	0.0001058679044945166	0.0002089422632707283	5.165503171156161e-05	NULL	smoothed	weekly	2022-06-28T00:00:00.000
USA	2022-06-25T00:00:00.000	BA.2.12.1	0.4202331006526947	0.4528775811195374	0.3882606327533722	NULL	smoothed	weekly	2022-06-28T00:00:00.000
USA	2022-06-25T00:00:00.000	BA.5	0.3657998442649841	0.4057937264442444	0.3275389969348907	NULL	smoothed	weekly	2022-06-28T00:00:00.000
USA	2022-06-25T00:00:00.000	BA.4	0.1567529886960983	0.1802641004323959	0.1357525140047073	NULL	smoothed	weekly	2022-06-28T00:00:00.000
USA	2022-06-25T00:00:00.000	B.1.617.2	6.741897040640765E-10	6.015049347496415E-9	6.720372522361906e-12	NULL	smoothed	weekly	2022-06-28T00:00:00.000
USA	2022-06-25T00:00:00.000	BA.1.1	0.000003703505171870347	0.000004851017365581356	2.820588406393654e-06	NULL	smoothed	weekly	2022-06-28T00:00:00.000
USA	2022-06-25T00:00:00.000	BA.2	0.05715395137667656	0.06400889158248901	0.05098363012075424	NULL	smoothed	weekly	2022-06-28T00:00:00.000
USA	2022-06-25T00:00:00.000	B.1.1.529	0.00000193887967725459	0.000007165354872995522	3.931846777049941e-07	NULL	smoothed	weekly	2022-06-28T00:00:00.000
USA	2022-06-25T00:00:00.000	Other	0.00005446725117508322	0.0001160308529506437	2.427330218779389e-05	NULL	smoothed	weekly	2022-06-28T00:00:00.000
USA	2022-07-23T00:00:00.000	BA.2.12.1	0.04981063678860664	0.05380400642752647	0.04609650373458862	NULL	smoothed	weekly	2022-08-02T00:00:00.000
USA	2022-07-23T00:00:00.000	BA.4.6	0.03582306951284409	0.04570314288139343	0.02796510979533195	NULL	smoothed	weekly	2022-08-02T00:00:00.000
USA	2022-07-23T00:00:00.000	BA.1.1	1.525094361909396E-8	2.368575202638112E-8	9.719007820763181e-09	NULL	smoothed	weekly	2022-08-02T00:00:00.000
USA	2022-07-23T00:00:00.000	B.1.617.2	1.081446896478155E-7	5.529984719032655E-7	1.129852211789739e-08	NULL	smoothed	weekly	2022-08-02T00:00:00.000
USA	2022-07-23T00:00:00.000	B.1.1.529	0.000001302082978327235	0.00001798374432837591	0	NULL	smoothed	weekly	2022-08-02T00:00:00.000
USA	2022-07-23T00:00:00.000	Other	0.00002322105137864128	0.0000357760836777743	1.492527826485457e-05	NULL	smoothed	weekly	2022-08-02T00:00:00.000
USA	2022-07-23T00:00:00.000	BA.2	0.003008603118360043	0.003390254685655236	0.002669223817065358	NULL	smoothed	weekly	2022-08-02T00:00:00.000
USA	2022-07-23T00:00:00.000	BA.4	0.09579385071992874	0.1039223447442055	0.08823239803314209	NULL	smoothed	weekly	2022-08-02T00:00:00.000
